Galaxy	 logz		logzerr
IC2574 	 -103.921 	 0.214 
IC2574 	 -103.759 	 0.213 
CamB 	 -22.606 	 0.171 
D512-2 	 -17.248 	 0.160 
D564-8 	 -18.746 	 0.171 
D631-7 	 -43.075 	 0.200 
DDO064 	 -45.439 	 0.161 
DDO154 	 -22.681 	 0.235 
DDO161 	 -67.280 	 0.221 
IC4202 	 -149.565 	 0.266 
NGC0891 	 -62.647 	 0.225 
IC2574 	 -103.606 	 0.211 
IC2574 	 -103.861 	 0.214 
CamB 	 -22.624 	 0.171 
D512-2 	 -17.201 	 0.161 
D564-8 	 -18.531 	 0.170 
D631-7 	 -42.821 	 0.200 
DDO064 	 -45.458 	 0.163 
DDO154 	 -22.137 	 0.229 
DDO161 	 -67.344 	 0.222 
DDO168 	 -41.571 	 0.198 
DDO170 	 -26.129 	 0.210 
ESO079-G014 	 -54.723 	 0.203 
ESO116-G012 	 -47.044 	 0.204 
ESO116-G012 	 -46.967 	 0.203 
