Galaxy	 logz		logzerr
CamB 	 -36.167 	 0.196 
D512-2 	 -16.805 	 0.167 
D564-8 	 -19.292 	 0.187 
D631-7 	 -68.008 	 0.207 
DDO064 	 -46.093 	 0.176 
DDO154 	 -57.447 	 0.241 
DDO161 	 -71.020 	 0.225 
IC4202 	 -350.722 	 0.261 
NGC0891 	 -68.587 	 0.218 
CamB 	 -36.339 	 0.197 
D512-2 	 -16.857 	 0.165 
D564-8 	 -19.332 	 0.188 
D631-7 	 -67.672 	 0.205 
DDO064 	 -45.809 	 0.172 
DDO154 	 -57.479 	 0.243 
DDO161 	 -70.996 	 0.225 
DDO168 	 -63.514 	 0.197 
DDO170 	 -27.791 	 0.210 
ESO079-G014 	 -71.584 	 0.198 
