# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.07   nan      nan   8.70   1.58   3.57   0.43   nan      nan
0.20   nan      nan   9.39   1.89   4.18   0.46   nan      nan
0.33   nan      nan   9.61   1.67   4.50   0.47   nan      nan
0.47   8.28   2.54   9.58   1.77   5.00   0.52   8.44   2.49
0.60   11.25   2.49   8.77   1.72   5.95   0.62   11.51   2.44
0.74   13.17   2.12   8.36   1.66   6.12   0.64   13.62   2.06
0.87   13.79   2.08   8.27   1.32   5.78   0.59   14.62   1.97
1.00   15.94   1.91   7.95   1.28   5.20   0.53   17.26   1.79
1.14   17.05   1.94   8.43   1.37   4.47   0.46   19.14   1.77
1.27   18.25   2.13   8.83   1.45   3.65   0.37   21.32   1.89
1.40   19.83   2.53   9.10   1.63   3.06   0.31   23.93   2.17
1.54   21.29   2.69   9.70   2.16   2.64   0.27   26.35   2.26
1.67   21.86   2.74   8.30   1.59   2.05   0.21   27.86   2.28
1.81   21.96   2.80   8.00   1.62   1.44   0.15   28.71   2.34
1.94   21.49   3.43   6.97   1.65   1.03   0.11   28.84   2.83
2.07   22.78   3.45   6.16   1.44   0.51   0.05   30.06   3.03
