# rad_kpc vrot_km/s evrot vdisp_km/s evdisp sigmagas_msun/pc2 esigma vcirc_km/s evcirc
0.40   21.51   2.33   11.95   1.47   13.49   1.36   21.55   2.33
1.20   28.04   2.55   13.79   1.83   11.59   1.17   28.24   2.53
2.00   39.59   2.71   14.96   1.79   9.34   0.95   40.08   2.69
2.81   51.36   2.79   15.42   2.09   7.54   0.78   52.39   2.76
3.61   63.95   3.12   16.56   2.51   5.96   0.63   65.80   3.07
4.41   75.62   3.75   16.96   3.02   4.48   0.48   78.52   3.64
5.21   84.62   3.93   15.45   2.95   2.90   0.30   88.66   3.79
6.01   87.63   4.22   15.58   2.47   1.89   0.20   92.80   4.07
6.81   87.54   4.59   16.16   3.56   1.31   0.14   93.50   4.43
7.62   86.29   4.23   13.72   4.47   1.02   0.11   92.54   4.15
8.42   86.52   4.58   12.22   4.63   0.76   0.08   92.38   4.54
9.22   89.30   4.85   12.50   5.17   0.56   0.06   94.14   4.90
10.02   88.39   5.86   7.07   5.15   0.31   0.03   92.08   5.95
